,AUC,Accuracy
Baseline,0.5,0.528886872353297
Logistic Regression,0.8799019697944429,0.7847852389594676
Naive Bayes,0.8954078975584352,0.8216273442226255
Decision Tree,0.7403510706736514,0.7532365396249243
SVM-Linear,0.8814885274025059,0.7935874168179068
SVM-RBF,0.8689201360169102,0.5358439201451907
Random Forest,0.8947031522837975,0.8040834845735028
